"payer_id","activity_code","coverage_score"
"E001","87081",0.8565
"INS017","97140",0.3818
"INS026","6727-948101-0431",0.2281
"INS013","84132",0.6033
"E001","E34-0581-00679-01",0.4878
"INS001","0049-387301-1022",0.0000
"E001","77073",0.3767
"INS001","1025-149109-2611",0.5000
"INS026","2027-560101-0391",0.0000
"INS137","1512-398905-1021",1.0000
"E001","84155",0.5789
"E001","N01-2190-02572-01",1.0000
"INS008","73120",1.0000
"INS026","73030",0.1818
"INS026","97530",0.4211
"INS002","2901-191823-0151",1.0000
"INS017","73721",0.5806
"E001","77080",0.6984
"INS008","1217-627603-1022",1.0000
"E001","20553",0.1069
"INS001","84436",0.4902
"INS013","15",0.6923
"INS013","74018",1.0000
"INS008","1394-211702-0391",0.0000
"INS001","82947",0.5436
"INS035","97110",1.0000
"INS137","84132",0.8678
"INS026","29881",1.0000
"E001","76775",1.0000
"INS013","86140",0.9416
"E001","95816",0.4071
"INS013","87181",0.0000
"INS012","82948",1.0000
"E001","G05-4021-13346-02",0.0000
"INS012","86592",1.0000
"E001","67201",0.0000
"E001","J91-8858-02821-01",1.0000
