"payer_id","diagnosis_code","activity_code","pa_risk_score"
"E001","A08.0","DC5-A195-02166-02",0.0000
"E001","A08.0","EM0-A371-10943-01",0.0000
"E001","A08.0","F15-6596-04308-02",0.0000
"E001","A08.19","80053",0.0000
"E001","A08.19","85025",0.0000
"E001","A08.19","86140",0.0000
"E001","A08.19","96365",0.0000
"E001","A08.19","96375",0.0000
"E001","A08.19","99283",0.0000
"E001","A08.19","DC5-A195-02166-02",0.0000
"E001","A08.19","F15-6596-04308-02",0.0000
"E001","A08.32","99213",0.0000
"E001","A08.39","80048",0.0000
"E001","A08.39","80053",0.0000
"E001","A08.39","81002",0.0000
"E001","A08.39","85025",0.0000
"E001","A08.39","86140",0.0000
"E001","A08.39","87177",0.0000
"E001","A08.39","87209",0.0000
"E001","A08.39","93000",0.0000
"E001","A08.39","96361",0.0000
"E001","A08.39","96374",0.0000
"E001","A08.39","99202",0.0000
"E001","A08.39","99203",0.0000
"E001","A08.39","99282",0.0000
"E001","A08.39","99283",0.0000
"E001","A08.39","F15-6596-04308-02",0.0000
"E001","A08.39","U90-7991-05180-04",0.0000
"E001","A08.4","74177",0.0000
"E001","A08.4","76700",0.0000
"E001","A08.4","76856",0.0000
"E001","A08.4","80053",0.0000
"E001","A08.4","81001",0.0000
"E001","A08.4","81002",0.0000
"E001","A08.4","82550",0.0000
"E001","A08.4","83690",0.0000
"E001","A08.4","85025",0.0000
"E001","A08.4","86140",0.0000
"E001","A08.4","96361",0.0000
"E001","A08.4","96365",0.0000
"E001","A08.4","96374",0.0000
"E001","A08.4","96375",0.0000
"E001","A08.4","99202",0.0000
"E001","A08.4","99283",0.0000
"E001","A08.4","F15-6596-04308-02",0.0000
"E001","A08.4","G93-8901-08351-01",0.0000
"E001","A08.4","H45-6844-04173-01",0.0000
"E001","A08.4","J30-1726-02166-01",0.0000
"E001","A08.4","K57-4867-05178-01",0.0000
"E001","A08.4","U90-7991-05180-04",0.0000
"E001","A08.8","80053",0.0000
"E001","A08.8","85025",0.0000
"E001","A08.8","86140",0.0000
"E001","A08.8","96361",0.0000
"E001","A08.8","96365",0.0000
"E001","A08.8","96375",0.0000
"E001","A08.8","99283",0.0000
"E001","A08.8","F15-6596-04308-02",0.0000
"E001","A08.8","H37-4002-04325-03",0.0000
"E001","A08.8","K54-0972-01274-01",0.5000
"E001","A08.8","O28-3871-04176-01",0.0000
"E001","A08.8","O62-2809-00882-02",0.0000
"E001","A08.8","P59-6591-06702-01",0.0000
"E001","A08.8","T52-8054-07886-01",0.0000
"E001","A08.8","V30-7944-02158-01",0.0000
"E001","A09","034132",0.0000
"E001","A09","064171",0.0000
"E001","A09","064181",1.0000
"E001","A09","71045",0.0000
"E001","A09","72100",0.0000
"E001","A09","74018",0.0000
"E001","A09","74019",0.0000
"E001","A09","74177",0.0000
"E001","A09","76700",0.0000
"E001","A09","76856",0.0000
"E001","A09","76857",0.0000
"E001","A09","80048",0.0000
"E001","A09","80053",0.0000
"E001","A09","80061",0.0000
"E001","A09","80069",0.0000
"E001","A09","81000",0.0000
"E001","A09","81001",0.0000
"E001","A09","81002",0.0000
"E001","A09","81025",0.0000
"E001","A09","82150",0.0000
"E001","A09","82248",0.0000
"E001","A09","82274",0.0000
"E001","A09","82306",0.0000
"E001","A09","82310",0.0000
"E001","A09","82550",0.0000
"E001","A09","82553",0.0000
"E001","A09","82565",0.0000
"E001","A09","82607",0.0000
"E001","A09","82728",0.0000
"E001","A09","82746",0.0000
"E001","A09","82805",0.0000
"E001","A09","82947",0.0000
"E001","A09","82948",0.0000
"E001","A09","82955",0.0000
"E001","A09","82977",0.0000
"E001","A09","83021",0.0000
"E001","A09","83036",0.0000
"E001","A09","83516",0.0000
"E001","A09","83605",0.0000
"E001","A09","83615",0.0000
"E001","A09","83690",0.0000
"E001","A09","83721",0.0000
"E001","A09","83735",0.0000
"E001","A09","83993",0.0000
"E001","A09","84100",0.0000
"E001","A09","84132",0.0000
"E001","A09","84295",0.0000
"E001","A09","84439",0.0000
"E001","A09","84443",0.0000
"E001","A09","84450",0.0000
"E001","A09","84460",0.0000
"E001","A09","84478",0.0000
"E001","A09","84481",0.0000
"E001","A09","84484",0.0000
"E001","A09","84550",0.0000
"E001","A09","84702",0.0000
"E001","A09","85025",0.0000
"E001","A09","85652",0.0000
"E001","A09","85660",0.0000
"E001","A09","86140",0.0000
"E001","A09","86622",0.0000
"E001","A09","87040",0.0000
"E001","A09","87086",0.0000
"E001","A09","87177",0.0000
"E001","A09","87209",0.0000
"E001","A09","87220",0.0000
"E001","A09","87275",0.0000
"E001","A09","87276",0.0000
"E001","A09","87324",0.0000
"E001","A09","87338",0.0000
"E001","A09","87507",0.0000
"E001","A09","87633",0.0000
"E001","A09","87635",0.0000
"E001","A09","87880",0.0000
"E001","A09","93000",0.0000
"E001","A09","94640",0.0000
"E001","A09","96360",0.0000
"E001","A09","96361",0.0000
"E001","A09","96365",0.0000
"E001","A09","96367",0.0000
"E001","A09","96374",0.0000
"E001","A09","96375",0.0000
"E001","A09","99202",0.0000
